file_label,file_size_bytes,strategy,c,l,ingest_time_s,download_time_s
100KB,100000,random,4,2,0.645140300039202,0.6738168000010774
100KB,100000,random,4,2,0.6327699000248685,0.6013772999867797
100KB,100000,random,4,2,0.6495853000087664,0.6160326000535861
100KB,100000,random,4,2,0.6257180999964476,0.6173539999872446
100KB,100000,random,4,2,0.6546726999804378,0.6256308999145404
100KB,100000,random,4,2,0.6163566999603063,0.690816399990581
100KB,100000,random,4,2,0.6381424000719562,0.6257600999670103
100KB,100000,random,4,2,0.6576272000093013,0.6113962000235915
100KB,100000,random,4,2,0.6456486000679433,0.6522607000079006
100KB,100000,random,4,2,0.6230450000148267,0.6390089000342414
100KB,100000,min_copysets,4,2,0.6149452000390738,0.603534399997443
100KB,100000,min_copysets,4,2,0.651159800007008,0.622462600003928
100KB,100000,min_copysets,4,2,0.64895089995116,0.6672214000718668
100KB,100000,min_copysets,4,2,0.6545583999250084,0.6397598999319598
100KB,100000,min_copysets,4,2,0.6202632000204176,0.6036083999788389
100KB,100000,min_copysets,4,2,0.6563427000073716,0.6689985000994056
100KB,100000,min_copysets,4,2,0.6575391000369564,0.5993386000627652
100KB,100000,min_copysets,4,2,0.6472563999705017,0.6652110000140965
100KB,100000,min_copysets,4,2,0.6390776999760419,0.6521514999913052
100KB,100000,min_copysets,4,2,0.6863672999897972,0.6364501999923959
100KB,100000,buddy,4,2,0.6588773999828845,0.6774917000439018
100KB,100000,buddy,4,2,0.6613164999289438,0.6240492999786511
100KB,100000,buddy,4,2,0.6577981000300497,0.6385360000422224
100KB,100000,buddy,4,2,0.6780663001118228,0.6641717000165954
100KB,100000,buddy,4,2,0.6697722999379039,0.6186533999862149
100KB,100000,buddy,4,2,0.6655157000059262,0.6512108000461012
100KB,100000,buddy,4,2,0.6690642000176013,0.6682214000029489
100KB,100000,buddy,4,2,0.6535185999237001,0.6595929999602959
100KB,100000,buddy,4,2,0.6819527000188828,0.6658123999368399
100KB,100000,buddy,4,2,0.658318700036034,0.6520068999379873
1MB,1000000,random,4,2,1.0874211000045761,0.6849237999413162
1MB,1000000,random,4,2,1.0930417999625206,0.7160431999946013
1MB,1000000,random,4,2,1.0923302000155672,0.6656996000092477
1MB,1000000,random,4,2,1.0617751999525353,0.6601535999216139
1MB,1000000,random,4,2,1.10017260001041,0.6442438999656588
1MB,1000000,random,4,2,1.0757802999578416,0.6591273000231013
1MB,1000000,random,4,2,1.0978059000335634,0.6464035999961197
1MB,1000000,random,4,2,1.050075399922207,0.6635352000594139
1MB,1000000,random,4,2,1.0541306999512017,0.6962557999650016
1MB,1000000,random,4,2,1.0940526000922546,0.6791337000904605
1MB,1000000,min_copysets,4,2,1.1342339999973774,0.672072899993509
1MB,1000000,min_copysets,4,2,1.0896243999013677,0.6662652000086382
1MB,1000000,min_copysets,4,2,1.0938031000550836,0.6772978999651968
1MB,1000000,min_copysets,4,2,1.0639268000377342,0.6735988000873476
1MB,1000000,min_copysets,4,2,1.1061074000317603,0.6871795000042766
1MB,1000000,min_copysets,4,2,1.0830982000334188,0.673596499953419
1MB,1000000,min_copysets,4,2,1.051667199935764,0.6245641999412328
1MB,1000000,min_copysets,4,2,1.1031886999262497,0.7030039000092074
1MB,1000000,min_copysets,4,2,1.0623923999955878,0.6833895000163466
1MB,1000000,min_copysets,4,2,1.064647200051695,0.6549150999635458
1MB,1000000,buddy,4,2,1.0807691999943927,0.6644026000285521
1MB,1000000,buddy,4,2,1.0752639999845996,0.6589573000092059
1MB,1000000,buddy,4,2,1.0713354999898002,0.6848631999455392
1MB,1000000,buddy,4,2,1.0571185000007972,0.6825764999957755
1MB,1000000,buddy,4,2,1.0193527999799699,0.661439299932681
1MB,1000000,buddy,4,2,1.1261075999354944,0.6912818000419065
1MB,1000000,buddy,4,2,1.127557799918577,0.6890753000043333
1MB,1000000,buddy,4,2,1.1073932000435889,0.6582285999320447
1MB,1000000,buddy,4,2,1.0927040000678971,0.6604716000147164
1MB,1000000,buddy,4,2,1.1473056999966502,0.685693999985233
10MB,10000000,random,4,2,5.316560200066306,0.7088744000066072
10MB,10000000,random,4,2,5.321095099905506,0.7196275999303907
10MB,10000000,random,4,2,5.314853499992751,0.7802803999511525
10MB,10000000,random,4,2,5.32965620001778,0.7203852999955416
10MB,10000000,random,4,2,5.4834740000078455,0.7334775999188423
10MB,10000000,random,4,2,5.291426900075749,0.7259278999408707
10MB,10000000,random,4,2,5.325561800040305,0.7640239000320435
10MB,10000000,random,4,2,5.466905900044367,0.7393214999465272
10MB,10000000,random,4,2,5.385114699951373,0.7532150999177247
10MB,10000000,random,4,2,5.579366200021468,0.6870800999458879
10MB,10000000,min_copysets,4,2,4.887301999959163,0.7468700999161229
10MB,10000000,min_copysets,4,2,5.494583899970166,0.7368626999668777
10MB,10000000,min_copysets,4,2,5.279530900064856,0.7154705000575632
10MB,10000000,min_copysets,4,2,4.697895099991001,0.7135385000146925
10MB,10000000,min_copysets,4,2,4.699009999982081,0.7666706000454724
10MB,10000000,min_copysets,4,2,5.323776600067504,0.7512712000170723
10MB,10000000,min_copysets,4,2,5.345307599985972,0.7231474999571219
10MB,10000000,min_copysets,4,2,5.240294199902564,0.7142170000588521
10MB,10000000,min_copysets,4,2,5.309180499985814,0.7247193000512198
10MB,10000000,min_copysets,4,2,5.583981099887751,0.7059904000489041
10MB,10000000,buddy,4,2,5.296867000055499,0.7328752999892458
10MB,10000000,buddy,4,2,5.198326800018549,0.720607899944298
10MB,10000000,buddy,4,2,5.275954800075851,0.732933200080879
10MB,10000000,buddy,4,2,5.370895300060511,0.7218801000854
10MB,10000000,buddy,4,2,5.248157100053504,0.7062195000471547
10MB,10000000,buddy,4,2,5.263481700094417,0.6889642999740317
10MB,10000000,buddy,4,2,5.2983622999163345,0.7203009999357164
10MB,10000000,buddy,4,2,5.265636100084521,0.7480359000619501
10MB,10000000,buddy,4,2,5.2757921000011265,0.724694500095211
10MB,10000000,buddy,4,2,5.310696900007315,0.7118212000932544
